id,name,price,description,image,item
6,Pizza Portuguesa,"[{""P"": 28, ""M"": 33, ""G"": 38}]","Pizza com presunto, queijo, ovos, cebola, tomate e azeitonas","https://images.unsplash.com/photo-1513104890138-7c749659a591?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80",pizza
7,Pizza Vegetariana,"[{""P"": 27, ""M"": 32, ""G"": 37}]","Pizza com vegetais frescos como pimentão, cebola, tomate, cogumelos e azeitonas","https://cdn.pixabay.com/photo/2018/07/09/09/34/pizza-3525673_1280.jpg",pizza
8,Pizza Margherita Especial,"[{""P"": 30, ""M"": 35, ""G"": 40}]","Pizza Margherita com mozarela de búfala, tomate cereja e manjericão fresco","https://cdn.pixabay.com/photo/2018/07/09/09/34/pizza-3525673_1280.jpg",pizza
9,Pizza Calzone,"[{""P"": 35, ""M"": 40, ""G"": 45}]","Pizza fechada em meia-lua com recheio de queijo, presunto e tomate","https://cdn.pixabay.com/photo/2018/07/09/09/34/pizza-3525673_1280.jpg",pizza
10,Pizza Quatro Estações,"[{""P"": 29, ""M"": 34, ""G"": 39}]","Pizza com divisões de queijo, presunto, champignon e azeitonas","https://cdn.pixabay.com/photo/2018/07/09/09/34/pizza-3525673_1280.jpg",pizza
11,Pizza Bacon,"[{""P"": 27, ""M"": 32, ""G"": 37}]","Pizza com generosas fatias de bacon crocante e queijo derretido","https://cdn.pixabay.com/photo/2018/07/09/09/34/pizza-3525673_1280.jpg",pizza
12,Pizza Margherita com Rúcula,"[{""P"": 28, ""M"": 33, ""G"": 38}]","Pizza Margherita com rúcula fresca adicionada após assada","https://images.unsplash.com/photo-1513104890138-7c749659a591?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80",pizza
13,Pizza Frango com Catupiry,"[{""P"": 30, ""M"": 35, ""G"": 40}]","Pizza de frango desfiado e catupiry cremoso","https://images.unsplash.com/photo-1513104890138-7c749659a591?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80",pizza
14,Pizza Napolitana,"[{""P"": 29, ""M"": 34, ""G"": 39}]","Pizza com mozarela, tomate, alho, azeite de oliva e manjericão","https://images.unsplash.com/photo-1598023696416-0193a0bcd302?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=936&q=80",pizza
15,Pizza Margherita com Cogumelos,"[{""P"": 28, ""M"": 33, ""G"": 38}]","Pizza Margherita com cogumelos frescos fatiados","https://images.unsplash.com/photo-1598023696416-0193a0bcd302?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=936&q=80",pizza
16,Pizza Calabresa Especial,"[{""P"": 30, ""M"": 35, ""G"": 40}]","Pizza Calabresa com pimentões coloridos e cebola roxa","https://images.unsplash.com/photo-1598023696416-0193a0bcd302?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=936&q=80",pizza
17,Pizza Margherita com Tomate Seco,"[{""P"": 29, ""M"": 34, ""G"": 39}]","Pizza Margherita com tomates secos e manjericão fresco","https://images.pexels.com/photos/825661/pexels-photo-825661.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",pizza
18,Pizza Quatro Queijos Especial,"[{""P"": 32, ""M"": 37, ""G"": 42}]","Pizza Quatro Queijos com queijo brie e geleia de pimenta","https://images.unsplash.com/photo-1618213837799-25d5552820d3?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=842&q=80",pizza
19,Pizza Camarão,"[{""P"": 35, ""M"": 40, ""G"": 45}]","Pizza com camarões suculentos, catupiry e azeitonas","https://images.pexels.com/photos/3682837/pexels-photo-3682837.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",pizza
20,Pizza Margherita com Presunto Parma,"[{""P"": 33, ""M"": 38, ""G"": 43}]","Pizza Margherita com presunto Parma fatiado e rúcula fresca","https://images.pexels.com/photos/825661/pexels-photo-825661.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",pizza
21,Pizza Quatro Queijos com Champignon,"[{""P"": 30, ""M"": 35, ""G"": 40}]","Pizza com muçarela, gorgonzola, parmesão, provolone e champignon","https://images.unsplash.com/photo-1618213837799-25d5552820d3?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=842&q=80",pizza
22,Pizza Margherita com Bacon,"[{""P"": 29, ""M"": 34, ""G"": 39}]","Pizza Margherita com tiras de bacon crocante e queijo derretido","https://images.pexels.com/photos/825661/pexels-photo-825661.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",pizza
23,Pizza Calabresa com Cebola,"[{""P"": 28, ""M"": 33, ""G"": 38}]","Pizza com calabresa, cebola fatiada e queijo derretido","https://images.unsplash.com/photo-1618213837799-25d5552820d3?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=842&q=80",pizza
24,Pizza Frango com Milho,"[{""P"": 30, ""M"": 35, ""G"": 40}]","Pizza de frango desfiado com milho e catupiry cremoso","https://images.pexels.com/photos/3682837/pexels-photo-3682837.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",pizza
25,Pizza Margherita com Pesto,"[{""P"": 29, ""M"": 34, ""G"": 39}]","Pizza Margherita com molho pesto e queijo derretido","https://images.pexels.com/photos/825661/pexels-photo-825661.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1",pizza
